ID_REF,GSM546233,GSM546234,GSM546235,GSM546236
10338422,3.07347,2.20739,2.36427,2.30507
10338423,2.69623,2.50318,3.63969,2.54593
10338424,7.18405,7.55716,7.38471,7.16777
10338425,2.34957,3.46855,3.93955,4.12824
10338426,2.5088,2.7053,2.88868,2.43678
10338427,2.29485,2.59698,2.11748,2.78403
10338428,2.05318,2.24338,1.91792,1.58963
10338429,5.74298,5.92559,5.52524,5.95647
10338430,1.95166,1.68518,1.95942,1.75945
10338431,3.81311,3.34233,4.14269,3.33385
10338432,1.76622,1.70675,1.96096,1.67021
10338433,11.1154,11.1042,11.1909,11.0572
10338434,4.84676,5.56968,5.29244,4.88019
10338435,1.34686,1.8064,1.24495,1.4398
10338436,1.21313,1.43171,1.3229,1.29144
10338437,7.7601,8.28822,8.03342,7.96814
10338438,1.72384,1.31747,1.81369,1.57672
10338439,2.30236,3.14003,2.35818,2.93207
10338440,2.54328,2.76027,2.92784,3.06045
10338441,3.72863,3.5132,3.67837,3.17285
10338442,3.1434,3.26518,2.63364,3.77786
10338443,1.72694,1.64928,1.59502,1.82506
10338444,2.06629,1.98605,2.49446,1.60996
10338445,2.18473,2.07318,1.70945,1.6505
10338446,6.19097,5.94669,6.358,6.23098
10338447,3.70014,4.56367,4.6367,4.68651
10338448,2.6467,2.13347,1.93622,2.54248
10338449,3.90693,3.85921,3.4685,3.23405
10338450,1.48055,1.49371,1.60222,2.37101
10338451,1.69607,1.68556,1.68662,1.4979
10338452,1.66394,2.55073,2.53902,1.60799
10338453,1.91873,2.22567,2.4765,2.51431
10338454,1.40798,1.80439,1.30074,1.8072
10338455,2.10098,2.19982,2.49539,1.89287
10338456,3.87882,4.04545,3.65669,3.85391
10338457,4.6451,4.3514,4.95264,3.74539
10338458,2.8914,3.14523,3.34422,2.9784
10338459,1.7836,1.85673,1.82027,1.5449
10338460,8.41253,8.39627,8.43056,8.55145
10338461,2.01176,3.51923,2.04103,2.55663
10338462,1.62912,2.12536,1.90363,1.3611
10338463,8.03988,8.25711,8.22824,8.02985
10338464,2.78087,3.60618,3.03026,3.82609
10338465,3.3913,2.66208,3.41083,3.39176
10338466,8.14719,8.12929,8.04719,8.28109
10338467,2.24178,1.63811,2.47918,2.37929
10338468,4.68153,5.33534,5.25614,4.9589
10338469,2.30974,2.62895,2.51218,2.47633
10338470,3.46353,3.15134,3.84705,4.20552
10338471,9.45122,9.65511,10.2528,9.86579
10338472,10.1521,10.0122,10.2375,10.247
10338473,3.71389,2.78631,3.93597,3.92688
10338474,7.69783,7.75693,7.98571,7.72463
10338475,6.25017,6.18415,6.48077,6.56561
10338476,4.80121,4.81688,4.60857,4.75633
10338477,5.11489,4.67606,4.61658,4.95331
10338478,1.83729,2.24884,1.63668,2.60564
10338479,1.94974,1.85502,1.59826,1.51442
10338480,4.12411,4.05662,3.42895,3.47841
10338481,3.77599,3.66566,3.7376,3.59039
10338482,6.83056,6.99628,7.23504,6.53067
10338483,4.64324,3.55013,3.40417,3.96279
10338484,4.46462,3.80754,4.2829,4.90246
10338485,2.49064,1.99194,2.15778,2.44158
10338486,8.1856,8.36759,8.51485,8.29419
10338487,4.90353,4.70319,5.21646,4.5156
10338488,5.08449,5.16213,4.83666,5.77952
10338489,1.97584,3.55372,3.13026,4.04763
10338490,2.55499,2.35423,2.38861,2.54996
10338491,5.9076,5.69851,5.76987,5.31162
10338492,3.22231,3.16819,3.48042,3.35938
10338493,6.33926,5.76004,6.27264,6.22569
10338494,5.74592,5.08761,5.49559,5.13311
10338495,4.98004,4.27012,4.48217,4.79307
10338496,7.37436,7.41778,7.80027,7.53904
10338497,3.84474,4.22572,2.37488,1.91174
10338498,6.90996,7.812,7.95529,7.65976
10338499,1.69821,2.41902,2.0989,2.18321
10338500,6.04466,5.73153,5.90324,5.80297
10338501,2.37086,1.89054,2.36584,2.42322
10338502,2.00111,1.95162,2.28213,2.17764
10338503,1.89658,1.66647,1.66647,1.64292
10338504,11.8403,11.8454,11.9192,11.9884
10338505,6.1234,5.49986,5.54693,5.8397
10338506,2.16665,2.22303,2.39467,2.79255
10338507,3.79859,4.37639,4.29272,4.12499
10338508,3.11133,2.31876,2.2826,2.04136
10338509,4.71623,5.04971,3.98431,4.29246
10338510,5.98554,6.31513,6.22183,5.97287
10338511,2.85587,2.40656,2.83981,3.38569
10338512,3.06608,3.55623,3.08134,2.95708
10338513,4.70608,4.817,4.74544,5.00798
10338514,6.89139,6.83726,7.05692,6.60334
10338515,8.68618,8.60422,8.6952,8.47098
10338516,3.61636,2.15392,2.07485,2.32942
10338517,5.40528,5.22989,5.01551,5.71295
10338518,3.10655,2.34824,2.51982,2.77698
10338519,2.71929,3.61563,3.6013,3.30758
10338520,1.8072,4.14773,4.48766,4.12791
10338521,3.28464,3.66558,3.35838,3.98825
10338522,9.88243,10.1394,10.2891,10.3723
10338523,2.75329,2.91036,3.81542,3.19749
10338524,6.9582,6.52844,6.99264,6.69667
10338525,3.34683,3.40329,4.09902,3.37755
10338526,1.91146,1.52446,1.6072,1.40933
10338527,2.49446,3.32627,4.1799,3.41791
10338528,5.27556,5.52667,6.51546,6.32734
10338529,10.84,10.928,10.849,10.8046
10338530,8.7835,8.64374,8.58336,8.61837
10338531,6.18071,6.14167,5.96973,5.95773
10338532,4.34994,3.50365,3.01586,3.25447
10338533,3.81809,4.52487,4.48698,4.79677
10338534,2.471,2.71187,2.58226,2.19906
10338535,3.63539,3.76751,4.65529,3.00704
10338536,2.23126,2.13205,2.53398,2.49539
10338537,1.57875,2.32458,1.88696,1.73668
10338538,2.28416,2.6307,1.87737,1.66406
10338539,1.65129,1.89061,1.96078,1.6012
10338540,7.78984,8.05613,8.06052,7.70259
10338541,4.69231,3.51728,4.0932,3.94651
10338542,5.87897,5.82474,5.73386,5.82326
10338543,1.91891,1.66987,1.86066,2.19919
10338544,1.39648,1.31918,1.27664,1.39966
10338545,4.96149,4.79951,5.10466,5.21836
10338546,2.13839,2.40116,2.31866,1.79125
10338547,1.79666,1.7326,1.53657,1.43911
10338548,1.52422,1.58907,1.5218,1.37649
10338549,1.48697,1.51512,1.29114,1.22297
10338550,3.55834,3.35724,3.66345,2.87926
10338551,2.9723,2.6428,2.63389,3.16867
10338552,7.02159,6.22747,6.3025,6.52247
10338553,2.41747,2.26053,1.89662,1.90421
10338554,2.1039,2.61654,2.31679,2.0208
10338555,1.61963,1.84353,1.46643,2.01549
10338556,7.21991,7.59044,7.56106,7.4576
10338557,4.22532,4.78695,4.47259,4.69367
10338558,9.26625,9.28412,9.31999,9.42103
10338559,4.70879,3.7687,3.59013,3.74265
10338560,2.01176,1.79517,1.51475,1.85947
10338561,6.52986,6.41434,6.33917,6.49031
10338562,1.57724,1.50204,1.42671,1.36278
10338563,1.92855,2.03821,2.29584,2.16454
10338564,1.23496,1.58932,1.40444,1.76526
10338565,7.59045,7.79971,7.66109,7.58352
10338566,4.70932,4.73869,4.7193,4.20814
10338567,7.81793,7.63658,7.83196,8.02133
10338568,2.64177,2.53695,2.98275,2.58816
10338569,2.10053,2.01379,1.93548,2.24078
10338570,2.74928,3.00046,2.73692,2.94899
10338571,4.01617,3.64594,3.73718,4.15467
10338572,2.22521,2.22072,2.40781,1.79983
10338573,3.10419,3.83924,3.87884,3.27347
10338574,4.23242,3.89872,4.09346,4.48863
10338575,1.55334,2.20942,2.45176,1.65981
10338576,4.35173,4.60948,4.32271,3.20898
