hgnc_symbol	entrezgene_id	ensembl_gene_id	exp_num_xpr	cell_num_xpr	cell_name_xpr	exp_num_sh	cell_num_sh	cell_name_sh	exp_num_oe	cell_num_oe	cell_name_oe
CERS3	204219	bioMart	NA	NA	NA	24	1	NA	8	5	AGS|A375|A549|U251MG|PC3
CERS4	79603	ENSG00000090661	NA	NA	NA	27	1	NA	9	7	PC3|ES2|BICR6|A549|KELLY|U251MG|SNU761
CERS6	253782	ENSG00000172292	20	10	PC3|BICR6|A375|MCF7|A549|YAPC|ES2|U251MG|AGS|HT29	NA	NA	NA	NA	NA	NA
CES1	1066	ENSG00000198848	20	10	BICR6|PC3|A549|HT29|MCF7|YAPC|U251MG|A375|ES2|AGS	30	11	AGS|U251MG|BICR6|ES2|MCF7|YAPC|HS944T|PC3|A549|HT29|NA	8	7	A375|MCF7|A549|YAPC|U251MG|LCLC103H|ES2
CES2	8824	ENSG00000172831	NA	NA	NA	38	13	AGS|BICR6|U251MG|PC3|A549|HT29|ES2|KYSE30|YAPC|A375|SNGM|IPC298|MCF7	10	7	ES2|AGS|PC3|BICR6|A375|U251MG|MCF7
CETN2	1069	ENSG00000147400	NA	NA	NA	24	1	NA	8	6	A549|PC3|ES2|AGS|HT29|YAPC
CETN3	1070	ENSG00000153140	NA	NA	NA	44	11	ES2|HT29|A549|MCF7|LCLC103H|YAPC|AGS|A375|BICR6|U251MG|PC3	1	1	ES2
CETP	1071	ENSG00000087237	18	9	HT29|ES2|A375|AGS|A549|BICR6|YAPC|U251MG|PC3	NA	NA	NA	NA	NA	NA
CFAP46	54777	ENSG00000171811	20	10	PC3|YAPC|A549|BICR6|U251MG|AGS|ES2|MCF7|A375|HT29	NA	NA	NA	NA	NA	NA
CFB	629	ENSG00000243649	20	10	AGS|A375|ES2|PC3|MCF7|A549|HT29|BICR6|U251MG|YAPC	27	10	KYSE30|A549|A375|U251MG|BICR6|PC3|ES2|MCF7|AGS|NA	8	4	AGS|A375|BICR6|A549
CFD	1675	ENSG00000197766	20	10	HT29|A375|ES2|U251MG|A549|MCF7|AGS|BICR6|YAPC|PC3	30	11	YAPC|A375|MCF7|PC3|U251MG|KYSE30|IPC298|HT29|ES2|AGS|NA	9	5	AGS|A549|ES2|BICR6|YAPC
CFH	3075	ENSG00000000971	20	10	A549|PC3|AGS|YAPC|BICR6|HT29|U251MG|A375|ES2|MCF7	NA	NA	NA	NA	NA	NA
CFHR1	3078	bioMart	20	10	MCF7|BICR6|ES2|A549|AGS|HT29|YAPC|PC3|A375|U251MG	NA	NA	NA	NA	NA	NA
CFHR3	10878	bioMart	20	10	A375|A549|U251MG|YAPC|MCF7|AGS|HT29|ES2|PC3|BICR6	NA	NA	NA	NA	NA	NA
CFHR5	81494	ENSG00000134389	20	10	A549|A375|U251MG|HT29|AGS|BICR6|YAPC|ES2|MCF7|PC3	NA	NA	NA	NA	NA	NA
CFI	3426	ENSG00000205403	20	10	YAPC|U251MG|AGS|MCF7|HT29|PC3|BICR6|A549|ES2|A375	NA	NA	NA	NA	NA	NA
CFL1	1072	ENSG00000172757	20	10	U251MG|A375|YAPC|BICR6|AGS|A549|PC3|MCF7|ES2|HT29	27	1	NA	8	7	A549|IPC298|MCF7|YAPC|PC3|HT29|SNU761
CFLAR	8837	ENSG00000003402	20	10	YAPC|HT29|A549|BICR6|ES2|U251MG|PC3|AGS|MCF7|A375	320	20	A375|A549|HCC44|DLD1|ES2|AGS|KELLY|YAPC|PC3|HT29|BICR6|MCF7|DANG|HS944T|U251MG|LCLC103H|HCC1806|SNU761|IPC298|NA	8	8	HCC44|ES2|PC3|A375|YAPC|U251MG|HCC1806|A549
CFP	5199	ENSG00000126759	20	10	A549|ES2|HT29|AGS|U251MG|PC3|BICR6|MCF7|YAPC|A375	NA	NA	NA	NA	NA	NA
